Identifiant de la notice	Thèque	Titre collection	Titre propre	Date de diffusion	Date d'enregistrement	Heure de diffusion	Titre phonogramme	Genre	Thématique	Durée
PHD98205693	PH (Phono)	Paris vous parle	Attentat à la grenade au stade municipal d'Alger	05/01/1957	05/01/1957	19:15:01		"Journal parlé ; Papier ; "	"Politique ; "	00:02:16
PHD98205694	PH (Phono)	Paris vous parle	L'ONU et le déblaiement du canal de Suez	05/01/1957	05/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:35
PHD98205695	PH (Phono)	Paris vous parle	Troupes soviétiques malmenées en Pologne	05/01/1957	05/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:15
PHD98205696	PH (Phono)	Paris vous parle	Grève de mineurs en Allemagne de l'Ouest	05/01/1957	05/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:50
PHD98205697	PH (Phono)	Paris vous parle	Grève des cheminots canadiens	05/01/1957	05/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:00
PHD98205698	PH (Phono)	Paris vous parle	Minou DROUET reçue par PIE XII	05/01/1957	05/01/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Information ; "	00:00:15
PHD98205703	PH (Phono)	Paris vous parle	Alger : attentats	07/01/1957	07/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:15
PHD98205704	PH (Phono)	Paris vous parle	Débats de politique étrangère aux Etats-Unis	07/01/1957	07/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:03:10
PHD98205705	PH (Phono)	Paris vous parle	L'Italie et les projets d'EISENHOWER au Moyen-Orient	07/01/1957	07/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:30
PHD98205706	PH (Phono)	Paris vous parle	Israël et les états-unis, le problème de l'eau	07/01/1957	07/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:25
PHD98205707	PH (Phono)	Paris vous parle	Moscou reçoit CHOU En Lai	07/01/1957	07/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:25
PHD98205708	PH (Phono)	Paris vous parle	Strasbourg, conseil des réfugiés hongrois	07/01/1957	07/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:35
PHD98205709	PH (Phono)	Paris vous parle	Meknes, procès des émeutiers	07/01/1957	07/01/1957	19:16:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:20
PHD98205710	PH (Phono)	Paris vous parle	Les hausses de loyer	07/01/1957	07/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; "	00:01:30
PHD98205711	PH (Phono)	Paris vous parle	Préparation de France-Ecosse en rugby	07/01/1957	07/01/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Sports ; "	00:01:00
PHD98205712	PH (Phono)	Paris vous parle	Rugby à lourdes	07/01/1957	07/01/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Sports ; "	00:01:40
PHD98205713	PH (Phono)	Paris vous parle	Jean BRETONNEL et hassanne DIOUF : compétition des poids moyens	07/01/1957	07/01/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Sports ; "	00:01:50
PHD98205719	PH (Phono)	Paris vous parle	Les forces Israëliennes dans le Sinaï	08/01/1957	08/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:00
PHD98205721	PH (Phono)	Paris vous parle	Les Etats-Unis face à l'Europe de l'est et au Moyen-Orient	08/01/1957	08/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:03:40
PHD98205722	PH (Phono)	Paris vous parle	CHOU En Lai à Moscou	08/01/1957	08/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:15
PHD98205723	PH (Phono)	Paris vous parle	Rapports économiques Allemagne de l'Est-URSS	08/01/1957	08/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:05
PHD98205724	PH (Phono)	Paris vous parle	Le comité révolutionnaire hongrois à Strasbourg	08/01/1957	08/01/1957	19:15:00		"Déclaration ; Journal parlé ; "	"Politique ; "	00:01:05
PHD98205725	PH (Phono)	Paris vous parle	Meknès, procès des terroristes d'octobre 1956	08/01/1957	08/01/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Politique ; "	00:02:55
PHD98205726	PH (Phono)	Paris vous parle	Téléphonie électronique pour la marine	08/01/1957	08/01/1957	19:35:00		"Interview entretien ; Journal parlé ; "	"Industrie ; Sciences ; "	00:02:00
PHD98205728	PH (Phono)	Paris vous parle	Attente du discours de Guy MOLLET et succès du général MASSU	09/01/1957	09/01/1957	19:15:01		"Journal parlé ; Papier ; "	"Politique ; "	00:02:28
PHD98205729	PH (Phono)	Paris vous parle	Retour anticipe de la reine d'Angleterre	09/01/1957	09/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:00:40
PHD98205730	PH (Phono)	Paris vous parle	Défaite diplomatique de BEN GOURION	09/01/1957	09/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:45
PHD98205731	PH (Phono)	Paris vous parle	Moscou reçoit chaou en lai	09/01/1957	09/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:30
PHD98205732	PH (Phono)	Paris vous parle	Catastrophe ferroviaire à Sézanne	09/01/1957	09/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; "	00:01:40
PHD98205733	PH (Phono)	Paris vous parle	Les observations médicales d'Alain BOMBARD	09/01/1957	09/01/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Médecine santé ; "	00:02:10
PHD98205734	PH (Phono)	Paris vous parle	Controverse sur la sécurité sociale	09/01/1957	09/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; Médecine santé ; "	00:01:15
PHD98205742	PH (Phono)	Paris vous parle	Procès de dissidents à Budapest	06/03/1957	06/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Politique ; "	00:01:22
PHD98205743	PH (Phono)	Paris vous parle	Cérémonie d'indépendance du Ghana	06/03/1957	06/03/1957	19:15:02		"Bruitage image sonore ; Journal parlé ; Papier ; Reportage ; "	"Politique ; "	00:02:54
PHD98205744	PH (Phono)	Paris vous parle	Electrométallurgie au Cameroun	06/03/1957	06/03/1957	19:19:20		"Journal parlé ; Papier ; Reportage ; "	"Industrie ; Information ; Politique ; "	00:01:35
PHD98205747	PH (Phono)	Paris vous parle	Le fakir Burma	06/03/1957	06/03/1957	19:15:06		"Interview entretien ; Journal parlé ; "	"Spectacle ; "	00:01:27
PHD98205749	PH (Phono)	Paris vous parle	Débat sur le désarmement à Londres	07/03/1957	07/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; "	00:02:15
PHD98205750	PH (Phono)	Paris vous parle	Arrestation à Paris et Alger	07/03/1957	07/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	
PHD98205752	PH (Phono)	Paris vous parle	Remise en marche du pipe-line Irak petroleum	07/03/1957	07/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; Politique ; "	
PHD98205753	PH (Phono)	Paris vous parle	Anniversaire de la mort d'Aristide BRIAND	07/03/1957	07/03/1957	19:15:02		"Interview entretien ; Journal parlé ; Reportage ; "	"Histoire ; Politique ; "	00:03:08
PHD98205754	PH (Phono)	Paris vous parle	Voyage d'information en Afrique noire	07/03/1957	07/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Industrie ; Information ; "	
PHD98205755	PH (Phono)	Paris vous parle	La flotte militaire française	07/03/1957	07/03/1957	19:15:05		"Journal parlé ; Papier ; "	"Politique ; "	
PHD98205756	PH (Phono)	Paris vous parle	Information sur le cancer et le dépistage de la leucémie	07/03/1957	07/03/1957	19:15:04		"Interview entretien ; Journal parlé ; "	"Médecine santé ; "	
PHD98205757	PH (Phono)	Paris vous parle	Fondation du Théâtre des Nations	07/03/1957	07/03/1957	19:15:03		"Conférence de presse ; Journal parlé ; Reportage ; "	"Théâtre ; "	00:02:16
PHD98205758	PH (Phono)	Paris vous parle	La semaine de l'agriculture	08/03/1957	08/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Environnement ; Information ; "	00:05:13
PHD98205762	PH (Phono)	Paris vous parle	Israël et l'évacuation de Gaza	08/03/1957	08/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Politique ; "	00:02:23
PHD98205766	PH (Phono)	Paris vous parle	Assurances sociales et allocations familiales	08/03/1957	08/03/1957	19:15:03		"Déclaration ; Journal parlé ; Reportage ; "	"Information ; Médecine santé ; "	00:01:38
PHD98205772	PH (Phono)	Paris vous parle	Simulation d'opération de survie au Cameroun	09/03/1957	09/03/1957	19:15:04		"Journal parlé ; Papier ; "	"Aventure exploration ; Médecine santé ; "	00:02:15
PHD98205773	PH (Phono)	Paris vous parle	Les moyens de secours en montagne	09/03/1957	09/03/1957	19:15:03		"Interview entretien ; Journal parlé ; "	"Environnement ; Sports ; Tourisme ; "	00:01:42
PHD98205774	PH (Phono)	Paris vous parle	L'année de géophysique présentée par Paul Emile VICTOR	09/03/1957	09/03/1957	19:15:02		"Interview entretien ; Journal parlé ; "	"Géographie ; Sciences ; "	00:03:07
PHD98205775	PH (Phono)	Paris vous parle	Le métier de comédien	09/03/1957	09/03/1957	19:15:06		"Interview entretien ; Journal parlé ; "	"Spectacle ; Théâtre ; "	00:02:41
PHD98205776	PH (Phono)	Paris vous parle	Lancement de cargo à La Ciotat	09/03/1957	09/03/1957	19:15:05		"Bruitage image sonore ; Journal parlé ; Reportage ; "	"Industrie ; "	00:01:21
PHD98205782	PH (Phono)	Paris vous parle	Harold MAC MILLAN se félicite des rapports franco britanniques	10/03/1957	09/03/1957	19:15:01		"Interview entretien ; Journal parlé ; Papier ; "	"Politique ; "	00:02:27
PHD98205784	PH (Phono)	Paris vous parle	Paul-Emile VICTOR : retour au Pôle Sud	10/03/1957	10/03/1957	19:15:00		"Indicatif ; Journal parlé ; "	"Aventure exploration ; Sciences ; "	
PHD98205785	PH (Phono)	Paris vous parle	Israël et le statut de Gaza	11/03/1957	11/03/1957	19:15:01		"Interview entretien ; Journal parlé ; "	"Politique ; "	
PHD98205788	PH (Phono)	Paris vous parle	Attente d'entretiens franco marocains	11/03/1957	11/03/1957	19:15:02		"Journal parlé ; Papier ; "	"Politique ; "	00:01:36
PHD98205790	PH (Phono)	Paris vous parle	Vive tension en Hongrie : répression accrue	11/03/1957	11/03/1957	19:15:03		"Journal parlé ; Papier ; "	"Politique ; "	00:02:41
PHD98205791	PH (Phono)	Paris vous parle	Le pétrole à Parentis	11/03/1957	11/03/1957	19:15:04		"Interview entretien ; Journal parlé ; Reportage ; "	"Industrie ; Information ; "	00:02:14
PHD98205799	PH (Phono)	Paris vous parle	Procès politiques et camps d'internement en Hongrie	12/03/1957	12/03/1957	19:15:01		"Journal parlé ; Papier ; "		00:02:13
PHD98205800	PH (Phono)	Paris vous parle	Décès de l'amiral BYRD	12/03/1957	12/03/1957	19:15:03		"Interview entretien ; Journal parlé ; "		00:02:37
PHD98205801	PH (Phono)	Paris vous parle	Georges Emmanuel CLANCIER lauréat du prix de la Société des Gens de Lettres	12/03/1957	12/03/1957	19:15:04		"Interview entretien ; Journal parlé ; "	"Littérature ; "	00:02:21
PHD98205802	PH (Phono)	Paris vous parle	Etude de l'UNESCO sur les livres	12/03/1957	12/03/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Littérature ; "	00:04:40
PHD98205806	PH (Phono)	Paris vous parle	Tension accrue en Israël	13/03/1957	13/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Politique ; "	00:01:36
PHD98205810	PH (Phono)	Paris vous parle	Voyage du Hongrois KADAR en Union Soviétique	13/03/1957	13/03/1957	19:15:02		"Journal parlé ; Papier ; "	"Politique ; "	00:02:30
PHD98205816	PH (Phono)	Paris vous parle	Deuxième Salon de la coutellerie et de l'orfèvrerie	14/03/1957	14/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Artisanat ; Information ; "	00:02:25
PHD98205817	PH (Phono)	Paris vous parle	Israël : la situation à Gaza	14/03/1957	14/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:34
PHD98205818	PH (Phono)	Paris vous parle	Israël met les USA en garde sur le problème de Gaza	14/03/1957	14/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:26
PHD98205819	PH (Phono)	Paris vous parle	Budapest, à la veille de la fête nationale	14/03/1957	14/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:30
PHD98205820	PH (Phono)	Paris vous parle	Salon international de l'auto à Genève	14/03/1957	14/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Industrie ; Information ; "	00:01:50
PHD98205821	PH (Phono)	Paris vous parle	20ème anniversaire du club des explorateurs	14/03/1957	14/03/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Aventure exploration ; Géographie ; "	00:04:20
PHD98205822	PH (Phono)	Paris vous parle	Le décès du coureur automobile castelotti	14/03/1957	14/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Sports ; "	00:01:00
PHD98205823	PH (Phono)	Paris vous parle	Douai : ouverture du procès du brigadier fagard	14/03/1957	14/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; "	00:05:08
PHD98205827	PH (Phono)	Paris vous parle	Réoccupation égyptienne à Gaza	15/03/1957	15/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Politique ; "	00:02:03
PHD98205828	PH (Phono)	Paris vous parle	Voyage du général De GAULLE en Mauritanie	15/03/1957	15/03/1957	19:15:06		"Déclaration ; Journal parlé ; Papier ; Reportage ; "	"Information ; Politique ; "	00:01:59
PHD98205831	PH (Phono)	Paris vous parle	Fête nationale à Budapest	15/03/1957	15/03/1957	19:15:03		"Journal parlé ; Papier ; "	"Politique ; "	00:02:12
PHD98205835	PH (Phono)	Paris vous parle	Expérience de télévision sous marine à Dunkerque	15/03/1957	15/03/1957	19:15:04		"Journal parlé ; Papier ; "	"Sciences ; "	00:02:25
PHD98205840	PH (Phono)	Paris vous parle	Accident à la mine de Liévin	17/03/1957	17/03/1957	19:15:01		"Interview entretien ; Journal parlé ; "	"Industrie ; Information ; "	00:01:55
PHD98205842	PH (Phono)	Paris vous parle	Expérience de survie au Cameroun	17/03/1956	17/03/1956	19:15:03		"Interview entretien ; Journal parlé ; "	"Aventure exploration ; "	00:01:28
PHD98205851	PH (Phono)	Paris vous parle	Tournée d'inspection du général De GAULLE au Sahara	18/03/1957	18/03/1957	19:15:01		"Déclaration ; Journal parlé ; Reportage ; "	"Politique ; "	00:02:28
PHD98205852	PH (Phono)	Paris vous parle	Voyage de Richard NIXON en Italie	18/03/1957	18/03/1957	19:15:04		"Journal parlé ; Papier ; "	"Politique ; "	00:01:54
PHD98205853	PH (Phono)	Paris vous parle	Procès du docteur ADAMS en Grande Bretagne	18/03/1957	18/03/1957	19:15:05		"Chronique ; Journal parlé ; "	"Justice ; "	00:06:05
PHD98205854	PH (Phono)	Paris vous parle	Retard dans la descente des corps des alpinistes Vincendon et Henry	18/03/1957	18/03/1957	19:15:06		"Interview entretien ; Journal parlé ; "		00:02:29
PHD98205855	PH (Phono)	Paris vous parle	La faim dans le monde	18/03/1957	18/03/1957	19:15:07		"Interview entretien ; Journal parlé ; "	"Information ; "	00:02:11
PHD98205856	PH (Phono)	Paris vous parle	Remise du prix Max JACOB au poète Marc ALYN	18/03/1957	18/03/1957	19:15:02		"Interview entretien ; Journal parlé ; "	"Littérature ; "	00:01:15
PHD98205857	PH (Phono)	Paris vous parle	Résultats sportifs	18/03/1957	18/03/1957	19:15:08		"Interview entretien ; Journal parlé ; "	"Sports ; "	00:00:59
PHD98205859	PH (Phono)	Paris vous parle	Mr de Félice : la conférence de l'OTASE	18/03/1957	18/03/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Politique ; "	00:02:15
PHD98205860	PH (Phono)	Paris vous parle	Croisade contre la faim de l'abbé Pierre et de Josué de CASTRO	18/03/1957	18/03/1957	19:15:00		"Journal parlé ; "	"Information ; "	00:03:11
PHD98205867	PH (Phono)	Paris vous parle	Premier anniversaire de l'indépendance en Tunisie	19/03/1957	19/03/1957	19:15:04		"Déclaration ; Journal parlé ; Papier ; Reportage ; "	"Politique ; "	00:01:31
PHD98205868	PH (Phono)	Paris vous parle	Accident de montagne à Chamonix	19/03/1957	19/03/1957	19:30:00		"Bruitage image sonore ; Journal parlé ; "	"Information ; Sports ; "	00:02:30
PHD98205869	PH (Phono)	Paris vous parle	L'acheminement du pétrole a la raffinerie de Frontignan	19/03/1957	19/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; "	
PHD98205870	PH (Phono)	Paris vous parle	Incertitude sur le débouché de l'autoroute du Sud près de Paris	19/03/1957	19/03/1957	19:15:05		"Interview entretien ; Journal parlé ; "	"Industrie ; Information ; "	00:01:13
PHD98205871	PH (Phono)	Paris vous parle	Procès du docteur ADAMS en Grande Bretagne : audition des infirmières	19/03/1957	19/03/1957	19:15:06		"Chronique ; Journal parlé ; "	"Justice ; Médecine santé ; "	00:06:38
PHD98205873	PH (Phono)	Paris vous parle	Journée d'information sur l'énergie nucléaire	26/03/1957	26/03/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	
PHD98205874	PH (Phono)	Paris vous parle	Appel à la prudence sur les routes	22/03/1957	22/03/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Industrie ; Information ; "	00:03:10
PHD98205875	PH (Phono)	Paris vous parle	La recherche scientifique	23/03/1957	23/03/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Information ; Sciences ; "	00:05:30
PHD98205876	PH (Phono)	Paris vous parle	Hommage à Paul DOUMER	22/03/1957	22/03/1957	19:15:00		"Journal parlé ; "	"Histoire ; Information ; "	00:03:00
PHD98205877	PH (Phono)	Paris vous parle	Fête du premier anniversaire de l'indépendance en Tunisie	20/03/1957	20/03/1957	19:15:03		"Bruitage image sonore ; Journal parlé ; Papier ; "	"Politique ; "	00:02:10
PHD98205882	PH (Phono)	Paris vous parle	Visite du Hongrois KADAR à Moscou	20/03/1957	20/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Politique ; "	00:02:51
PHD98205883	PH (Phono)	Paris vous parle	Accident de montagne à Chamonix	20/03/1957	20/03/1957	19:30:00		"Bruitage image sonore ; Journal parlé ; "	"Information ; Sports ; "	00:03:30
PHD98205885	PH (Phono)	Paris vous parle	La lutte contre le cancer	26/03/1957	26/03/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Médecine santé ; "	
PHD98205888	PH (Phono)	Paris vous parle	Mme GOLDAT MEIR : les conversations de Washington	21/03/1957	21/03/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Politique ; "	
PHD98205892	PH (Phono)	Paris vous parle	Inauguration du buste de BRACKE DESROUSSEAUX à Lille	21/03/1957	21/03/1957	19:15:02		"Déclaration ; Journal parlé ; Reportage ; "	"Histoire ; Politique ; "	00:02:04
PHD98205898	PH (Phono)	Paris vous parle	Conférence de presse en Tunisie des chefs du FLN	22/03/1957	22/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Politique ; "	00:02:11
PHD98205901	PH (Phono)	Paris vous parle	"Le livre ""quatre dans l'ombré"" sur Pierre BROSSOLETTE"	22/03/1957	22/03/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Histoire ; Information ; "	
PHD98205903	PH (Phono)	Paris vous parle	Maroc : imminente libération du lieutenant Perrin	23/03/1957	23/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	
PHD98205904	PH (Phono)	Paris vous parle	Nouvelles de Tunisie	23/03/1957	23/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	
PHD98205905	PH (Phono)	Paris vous parle	La conférence de presse du FLN à Tunis	23/03/1957	23/03/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	
PHD98205906	PH (Phono)	Paris vous parle	Réunion anglo-américaine aux Bermudes	23/03/1957	23/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	
PHD98205907	PH (Phono)	Paris vous parle	Israël suit les conversations entre pays arabes	23/03/1957	23/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	
PHD98205908	PH (Phono)	Paris vous parle	Réunion à Bruxelles sur l'Euratom et le Marché commun	23/03/1957	23/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; Politique ; "	
PHD98205909	PH (Phono)	Paris vous parle	Tremblement de terre à San Francisco	23/03/1957	23/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Environnement ; Information ; "	
PHD98205910	PH (Phono)	Paris vous parle	"Vienne : démonstration de la ""caravelle 210"""	23/03/1957	23/03/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Industrie ; "	
PHD98205912	PH (Phono)	Paris vous parle	Signature du traité de Rome	25/03/1957	25/03/1957	19:15:20		"Journal parlé ; "		00:02:23
PHD98205921	PH (Phono)	Paris vous parle	Grève à la faculté des lettres	25/03/1957	25/03/1957	19:15:01		"Journal parlé ; "	"Education pédagogie ; Sciences humaines ; "	00:01:10
PHD98205922	PH (Phono)	Paris vous parle	Procès du docteur ADAMS à Londres : questions sur les médicaments et leur dosage	25/03/1957	25/03/1957	19:15:02		"Journal parlé ; Papier ; "	"Justice ; Médecine santé ; "	00:06:06
PHD98205928	PH (Phono)	Paris vous parle	Maroc : difficile libération du lieutenant Perrin	26/03/1957	26/03/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; Politique ; "	
PHD98205931	PH (Phono)	Paris vous parle	Suite du procès du docteur ADAMS à Londres	26/03/1957	26/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Justice ; "	00:03:59
PHD98205940	PH (Phono)	Paris vous parle	Inauguration du Théâtre des Nations	27/03/1957	27/03/1957	19:15:02		"Interview entretien ; Journal parlé ; Reportage ; "	"Théâtre ; "	00:01:35
PHD98205941	PH (Phono)	Paris vous parle	Procès du docteur ADAMS : bataille d'experts	27/03/1957	27/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Justice ; Médecine santé ; "	00:04:02
PHD98205942	PH (Phono)	Paris vous parle	Interview de Robert BURON sur l'emploi des handicapés	29/03/1957	29/03/1957	19:45:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Industrie ; Information ; "	00:03:50
PHD98205947	PH (Phono)	Paris vous parle	Les signaux d'alarme du cancer	28/03/1957	28/03/1957	19:15:01		"Interview entretien ; Journal parlé ; "	"Médecine santé ; "	00:02:40
PHD98205948	PH (Phono)	Paris vous parle	Oscars du cinéma : prix pour Ingrid Bergman	28/03/1957	28/03/1957	19:15:02		"Journal parlé ; "	"Cinéma ; "	00:01:34
PHD98205949	PH (Phono)	Paris vous parle	L'avenir de la musique soviétique	28/03/1957	28/03/1957	19:15:03		"Journal parlé ; "	"Musique savante ; "	00:02:01
PHD98205953	PH (Phono)	Paris vous parle	Libération du lieutenant Perrin au Maroc	29/03/1957	29/03/1957	19:15:06		"Interview entretien ; Journal parlé ; Papier ; "	"Politique ; "	00:09:45
PHD98205957	PH (Phono)	Paris vous parle	Les relations entre l'URSS et la Hongrie	29/03/1957	29/03/1957	19:15:01		"Journal parlé ; Papier ; "	"Information ; Politique ; "	00:03:06
PHD98205960	PH (Phono)	Paris vous parle	La protection des sites et monuments historiques	01/04/1957	01/04/1957	19:15:00		"Causerie ; Journal parlé ; "	"Information ; Urbanisme ; "	00:21:27
PHD98205964	PH (Phono)	Paris vous parle	Elections pour l'assemblée territoriale du Sénégal	31/03/1957	31/03/1957	19:15:01		"Journal parlé ; Papier ; Reportage ; "	"Politique ; "	00:02:17
PHD98205972	PH (Phono)	Paris vous parle	La fin de la crise sociale en Angleterre	02/04/1957	02/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	
PHD98205973	PH (Phono)	Paris vous parle	L'aide technique Américaine au Maroc	02/04/1957	02/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	
PHD98205974	PH (Phono)	Paris vous parle	Les relations entre la Hongrie et l'URSS	02/04/1957	02/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	
PHD98205977	PH (Phono)	Paris vous parle	Congrès de l'Uri	02/04/1957	02/04/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Média ; "	00:00:45
PHD98205978	PH (Phono)	Paris vous parle	Des écoliers Bordelais exposent Los Angeles	02/04/1957	02/04/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Education pédagogie ; "	00:01:20
PHD98205980	PH (Phono)	Paris vous parle	Réponse égyptienne au mémorandum américain	03/04/1957	03/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	
PHD98205981	PH (Phono)	Paris vous parle	Prêt français de 30 millions de dollars	03/04/1957	03/04/1957	19:15:00		"Journal parlé ; "	"Politique ; Religion ; "	00:01:32
PHD98205982	PH (Phono)	Paris vous parle	Visite de Robert LACOSTE en Algérie	03/04/1957	03/04/1957	19:15:01		"Journal parlé ; Papier ; "	"Information ; Médecine santé ; Politique ; "	00:02:19
PHD98205983	PH (Phono)	Paris vous parle	Disparition d'un journaliste français	03/04/1957	03/04/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	00:01:35
PHD98205984	PH (Phono)	Paris vous parle	********************	03/04/1957	03/04/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	
PHD98205985	PH (Phono)	Paris vous parle	************************	03/04/1957	03/04/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	
PHD98205986	PH (Phono)	Paris vous parle	ADENAUER revient d'Iran	03/04/1957	03/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:02:29
PHD98205988	PH (Phono)	Paris vous parle	L'arrivée des cadeaux adressés à la reine	03/04/1957	03/04/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Information ; Politique ; "	00:03:44
PHD98205989	PH (Phono)	Paris vous parle	Réception au palais du Luxembourg des représentants de l'Uri	03/04/1957	03/04/1957	19:15:00		"Journal parlé ; Reportage ; "	"Média ; "	00:03:15
PHD98205990	PH (Phono)	Paris vous parle	Paris vous parle de 19h15 du 4 avril 1957	04/04/1957	04/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; "	00:40:00
PHD98205991	PH (Phono)	Paris vous parle	New-York : le conflit sur le statut de Suez	04/04/1957	04/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:02:27
PHD98205992	PH (Phono)	Paris vous parle	La Grande Bretagne et les suites de l'affaire de Suez	04/04/1957	04/04/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	
PHD98205993	PH (Phono)	Paris vous parle	Depuis Jérusalem : André SCEMAMA	04/04/1957	04/04/1957	19:15:00		"Journal parlé ; "	"Industrie ; Information ; "	00:01:11
PHD98205994	PH (Phono)	Paris vous parle	L'Algérie : conférence au gouvernement général	04/04/1957	04/04/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	00:01:52
PHD98205995	PH (Phono)	Paris vous parle	Tunis : discours de M. BOURGUIBA	04/04/1957	04/04/1957	19:15:00		"Journal parlé ; "	"Information ; "	00:02:19
PHD98205996	PH (Phono)	Paris vous parle	Budapest : fête de l'amitié hungaro-soviétique	04/04/1957	04/04/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	00:02:43
PHD98205997	PH (Phono)	Paris vous parle	Les invalides : remise des décorations aux résistants et déportés	04/04/1957	04/04/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Information ; "	00:01:32
