Identifiant de la notice	Thèque	Titre collection	Titre propre	Date de diffusion	Date d'enregistrement	Heure de diffusion	Titre phonogramme	Genre	Thématique	Durée
PHD98213301	PH (Phono)	Le téléphone sonne	La Communauté Economique Européenne	20/03/1984	20/03/1984	19:27:20		"Débat ; Interview entretien ; "	"Information ; Politique ; "	00:33:30
PHD98213324	PH (Phono)	Le téléphone sonne	Cent ans de syndicalisme en France	21/03/1984	21/03/1984	19:25:00		"Interview entretien ; Magazine ; "	"Politique ; "	00:35:00
PHD98213328	PH (Phono)	Le téléphone sonne	Le plan TV câbles	22/03/1984	22/03/1984	19:30:00		"Magazine ; "	"Média ; "	00:31:40
PHD98213387	PH (Phono)	Le téléphone sonne	La médecine prénatale	27/03/1984	27/03/1984	19:23:00		"Déclaration ; Interview entretien ; Magazine ; "	"Médecine santé ; "	00:30:30
PHD98213409	PH (Phono)	Le téléphone sonne	Les rapports entre la police et la presse	28/03/1984	28/03/1984	19:22:10		"Déclaration ; Interview entretien ; Magazine ; "	"Information ; "	00:37:35
PHD98213429	PH (Phono)	Le téléphone sonne	Pourquoi une semaine de théâtre	29/03/1984	29/03/1984	19:25:15		"Déclaration ; Interview entretien ; Journal parlé ; "	"Théâtre ; "	00:34:45
PHD98213486	PH (Phono)	Le téléphone sonne	Le plan QU'ILES et la crise du logement	03/04/1984	03/04/1984	19:25:30		"Interview entretien ; "	"Industrie ; Information ; "	00:35:45
PHD98213544	PH (Phono)	Le téléphone sonne	Quel avenir pour la Lorraine ?	05/04/1984	05/04/1984	19:25:00		"Interview entretien ; "	"Information ; "	00:35:00
PHD98213609	PH (Phono)	Le téléphone sonne	Les greffes	10/04/1984	10/04/1984	19:23:25		"Déclaration ; Interview entretien ; "	"Médecine santé ; "	
PHD98213622	PH (Phono)	Le téléphone sonne	La sécurité automobile	11/04/1984	11/04/1984	19:21:05		"Interview entretien ; "	"Industrie ; Information ; "	00:39:50
PHD98213644	PH (Phono)	Le téléphone sonne	La lutte contre le bruit	12/04/1984	12/04/1984	19:26:00		"Déclaration ; Interview entretien ; "	"Information ; Médecine santé ; "	00:34:35
PHD98213704	PH (Phono)	Le téléphone sonne	Pourquoi du retard dans le courrier ?	17/04/1984	17/04/1984	19:23:00		"Déclaration ; Interview entretien ; "	"Industrie ; Information ; "	00:37:00
PHD98213731	PH (Phono)	Le téléphone sonne	Les nouveaux guides touristiques	18/04/1984	18/04/1984	19:27:00		"Déclaration ; Interview entretien ; "	"Loisirs ; Tourisme ; "	00:33:00
PHD98213735	PH (Phono)	Le téléphone sonne	L'enseignement de l'histoire aux enfants	19/04/1984	19/04/1984	19:22:30		"Déclaration ; Interview entretien ; "	"Education pédagogie ; Histoire ; "	00:37:25
PHD98216917	PH (Phono)	Le téléphone sonne	La forme sous toutes ses formes	23/04/1984	23/04/1984	19:21:00		"Interview entretien ; Journal parlé ; "	"Information ; Médecine santé ; "	00:38:00
PHD98216931	PH (Phono)	Le téléphone sonne	Jeunes délinquants punis autrement	24/04/1984	24/04/1984	19:24:00		"Interview entretien ; Journal parlé ; "	"Information ; Sociologie ; "	00:35:20
PHD98213782	PH (Phono)	Le téléphone sonne	Le vocabulaire au féminin, pourquoi ?	26/04/1984	26/04/1984	19:30:30		"Déclaration ; Interview entretien ; "	"Sciences ; Sciences humaines ; "	00:29:15
