,issue_id,date,local_path,extension,notice,xml_filepath,issue_title,collection_title,radio_channel,broadcast_time
28972,RueDE-1988-01-02-a,02/01/1988,['INA/Data/Les_banques_suisses/PHD98232090_88INA06001PC0001_01___EXPORT.MP3'],MP3,PHD98232090,['INA/Data/Les_banques_suisses/PHD98232090_88INA06001PC0001_01___EXPORT.json'],"Les parfums   les stages ""hors limites""",Rue des entrepreneurs,Radio France,12:00:00
28973,TrParis-1950-10-19-c,19/10/1950,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD98400448_2001INA08505PC0074_01___EXPORT.MP3'],MP3,PHD98400448,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD98400448_2001INA08505PC0074_01___EXPORT.json'],Le syndicalisme doit-il etre politique ?,Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour,Radio Television Francaise,
28974,TrParis-1950-10-19-d,19/10/1950,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD98400448_95INA08505PA0098_01_0_0_EXPORT.MP3'],MP3,PHD98400448,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD98400448_95INA08505PA0098_01_0_0_EXPORT.json'],Le syndicalisme doit-il etre politique ?,Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour,Radio Television Francaise,
28975,TrParis-1953-07-14-c,14/07/1953,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD98400449_95INA08505PA0098_01___EXPORT.MP3'],MP3,PHD98400449,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD98400449_95INA08505PA0098_01___EXPORT.json'],Le quatorze juillet journee vraie et mythe,Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour,Radio Television Francaise,20:00:00
28976,TrParis-1950-10-01-a,01/10/1950,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD99101818_92INA08505PA0137_01_0_515700_EXPORT.MP3'],MP3,PHD99101818,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD99101818_92INA08505PA0137_01_0_515700_EXPORT.json'],Archives Indochine du 13 et 20 Octobre 1950,Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour,Radio Television Francaise,20:00:00
28977,ParisVP-1950-08-10-a,10/08/1950,['INA/Data/Journal_parle/09-_Paris_vous_parle_1948-1955/PHD99102067_94INA08505PA0275_01___EXPORT.MP3'],MP3,PHD99102067,['INA/Data/Journal_parle/09-_Paris_vous_parle_1948-1955/PHD99102067_94INA08505PA0275_01___EXPORT.json'],Paris vous parle : Retour de Prague,Paris vous parle,Divers,
28978,ParisVP-1949-06-10-a,10/06/1949,['INA/Data/Journal_parle/09-_Paris_vous_parle_1948-1955/PHD99102070_94INA08505PA0303_01___EXPORT.MP3'],MP3,PHD99102070,['INA/Data/Journal_parle/09-_Paris_vous_parle_1948-1955/PHD99102070_94INA08505PA0303_01___EXPORT.json'],Autour d'Oradour sur Glane,Paris vous parle,Radio Television Francaise,
28979,TrParis-1953-10-13-c,13/10/1953,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD99102094_95INA08505PA0015_01___EXPORT.MP3'],MP3,PHD99102094,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD99102094_95INA08505PA0015_01___EXPORT.json'],Tribune de Paris : Guy MOLLET,Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour,Divers,
28980,TrParis-1950-04-19-b,19/04/1950,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD99102124_95INA08505PA0291_01___EXPORT.MP3'],MP3,PHD99102124,['INA/Data/Journal_parle/08-Tribune_de_Paris_1946-1963/PHD99102124_95INA08505PA0291_01___EXPORT.json'],Tribune de Paris : Jacques de BATONCELLI,Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour,Divers,
28981,ParisVP-1956-05-01-a,01/05/1956,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102805_LO01033_01___EXPORT.MP3'],MP3,PHD99102805,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102805_LO01033_01___EXPORT.json'],Contractions du Journal parle Paris vous parle,Paris vous parle,Radio Television Francaise,19:15:00
28982,ParisVP-1956-06-01-e,01/06/1956,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102807_LO01041_01___EXPORT.MP3'],MP3,PHD99102807,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102807_LO01041_01___EXPORT.json'],Contractions du Journal parle Paris vous parle,Paris vous parle,Radio Television Francaise,19:15:00
28983,ParisVP-1956-07-01-j,01/07/1956,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102810_LO01047_01_0_320823_EXPORT.MP3'],MP3,PHD99102810,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102810_LO01047_01_0_320823_EXPORT.json'],Contractions du Journal parle Paris vous parle,Paris vous parle,Radio Television Francaise,19:15:02
28984,ParisVP-1956-07-01-k,01/07/1956,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102810_2000INA08508PA0009_01___EXPORT.MP3'],MP3,PHD99102810,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102810_2000INA08508PA0009_01___EXPORT.json'],Contractions du Journal parle Paris vous parle,Paris vous parle,Radio Television Francaise,19:15:02
28985,ParisVP-1957-06-01-g,01/06/1957,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102823_2000INA08508PA0010_01___EXPORT.MP3'],MP3,PHD99102823,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102823_2000INA08508PA0010_01___EXPORT.json'],Contractions du Journal parle Paris vous parle : semaine du 3 au 7 juin 1957,Paris vous parle,Radio Television Francaise,
28986,ParisVP-1957-06-01-h,01/06/1957,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102823_LO01121_01_0_350006_EXPORT.MP3'],MP3,PHD99102823,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102823_LO01121_01_0_350006_EXPORT.json'],Contractions du Journal parle Paris vous parle : semaine du 3 au 7 juin 1957,Paris vous parle,Radio Television Francaise,
28987,ParisVP-1957-06-01-i,01/06/1957,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102824_LO01122_01_0_1075808_EXPORT.MP3'],MP3,PHD99102824,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102824_LO01122_01_0_1075808_EXPORT.json'],Contractions du Journal parle Paris vous parle : du 4 au 6 juin 1957,Paris vous parle,Radio Television Francaise,
28988,ParisVP-1957-06-01-j,01/06/1957,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102824_2000INA08508PA0018_01___EXPORT.MP3'],MP3,PHD99102824,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102824_2000INA08508PA0018_01___EXPORT.json'],Contractions du Journal parle Paris vous parle : du 4 au 6 juin 1957,Paris vous parle,Radio Television Francaise,
28989,ParisVP-1957-06-01-k,01/06/1957,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102825_LO01135_01___EXPORT.MP3'],MP3,PHD99102825,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102825_LO01135_01___EXPORT.json'],Contractions du Journal parle Paris vous parle,Paris vous parle,Radio Television Francaise,19:15:00
28990,ParisVP-1957-06-01-l,01/06/1957,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102825_2000INA08508PA0019_01___EXPORT.MP3'],MP3,PHD99102825,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102825_2000INA08508PA0019_01___EXPORT.json'],Contractions du Journal parle Paris vous parle,Paris vous parle,Radio Television Francaise,19:15:00
28991,ParisVP-1957-06-01-m,01/06/1957,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102826_2000INA08508PA0011_01___EXPORT.MP3'],MP3,PHD99102826,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102826_2000INA08508PA0011_01___EXPORT.json'],Contractions du Journal parle Paris vous parle,Paris vous parle,Radio Television Francaise,19:15:00
28992,ParisVP-1957-06-01-n,01/06/1957,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102826_LO01161_01___EXPORT.MP3'],MP3,PHD99102826,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102826_LO01161_01___EXPORT.json'],Contractions du Journal parle Paris vous parle,Paris vous parle,Radio Television Francaise,19:15:00
28993,ParisVP-1957-01-01-w,01/01/1957,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102827_LO01162_01_0_374321_EXPORT.MP3'],MP3,PHD99102827,['INA/Data/Journal_parle/10-_Paris_vous_parle_1956-1957/PHD99102827_LO01162_01_0_374321_EXPORT.json'],Contractions du Journal parle Paris vous parle,Paris vous parle,Radio Television Francaise,
