Type de notice	Titre propre-Titre collection-date de diffusion-Chaine de diffusion-Heure de diffusion-Notice-Date de diffusion	Identifiant notice	Fichier source	Nom du fichier	TC IN	TC OUT	Format	Répertoire	Chemin
EMISSION RAD.	Titre: Esperances de paix pour 1949 - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:24/12/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272618 24/12/1948	PHD99272618	LO18166_01.MP3	PHD99272618_LO18166_01_0_274907_EXPORT.MP3	00:00:00:00	00:27:49:07	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Les maitres de la pensee francaise : Emile BOREL - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:29/12/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272619 29/12/1948	PHD99272619	LO15377_01.MP3	PHD99272619_LO15377_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Conversation du samedi : la semaine parisienne - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:22/01/1949 - Chaine:Radio diffusion francaise comment= notice PHD99272620 22/01/1949	PHD99272620	LO18865_01.MP3	PHD99272620_LO18865_01_0_185807_EXPORT.MP3	00:00:00:00	00:18:58:07	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Conversation du samedi : la semaine a Paris - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:29/01/1949 - Chaine:Radio diffusion francaise comment= notice PHD99272621 29/01/1949	PHD99272621	LO18607_01.MP3	PHD99272621_LO18607_01_0_183004_EXPORT.MP3	00:00:00:00	00:18:30:04	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Le ravitaillement - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:31/01/1949 - Chaine:Radio diffusion francaise comment= notice PHD99272622 31/01/1949	PHD99272622	LO18851_01.MP3	PHD99272622_LO18851_01_0_182214_EXPORT.MP3	00:00:00:00	00:18:22:14	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La saturation de l'economie americaine - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:04/03/1949 - Chaine:Radio Television Francaise comment= notice PHD99272624 04/03/1949	PHD99272624	LO19088_01.MP3	PHD99272624_LO19088_01_0_192014_EXPORT.MP3	00:00:00:00	00:19:20:14	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La saturation de l'economie americaine - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:04/03/1949 - Chaine:Radio Television Francaise comment= notice PHD99272624 04/03/1949	PHD99272624	B18932_01.MP3	PHD99272624_B18932_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: 5eme anniversaire de la liberation de Buchenwald - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:11/04/1949 - Chaine:Radio diffusion francaise comment= notice PHD99272626 11/04/1949	PHD99272626	LO18678_01.MP3	PHD99272626_LO18678_01_0_191724_EXPORT.MP3	00:00:00:00	00:19:17:24	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: L'evolution de la diplomatie - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:03/05/1949 - Chaine:Radio Television Francaise comment= notice PHD99272629 03/05/1949	PHD99272629	LO19157_01.MP3	PHD99272629_LO19157_01_0_184520_EXPORT.MP3	00:00:00:00	00:18:45:20	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: 50eme anniversaire de la mort de Henri BECQUE - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:12/05/1949 - Chaine:Radio Television Francaise comment= notice PHD99272636 12/05/1949	PHD99272636	LO19168_01.MP3	PHD99272636_LO19168_01_0_184816_EXPORT.MP3	00:00:00:00	00:18:48:16	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
