,Collection name,Journal Name,Start Year (in Scriptorium),End Year (in Scriptorium),Number of issues,"@TeamHistory, please express your interest 👇",Data Category for Data Sharing Agreement,Data Acquisition Batch,Data Transfer Batch (what has been transfered with hard disk),Extension of mit file,Impresso 1,Formula (if title in B was already in previous sheet),Question/Notes
166,Presse de l'Est vaudois,Journal du Pays d'Enhaut,1989,2018,1544,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
167,Presse de l'Est vaudois,Journal et liste des étrangers de Montreux,1892,1939,2052,medium,Category 1.5 - Orphan,Batch 2 – partly public,Batch 3 (12/24),,,No,
17,Gazettes suisses du 18e s.,Journal helvétique,1738,1782,533,high,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),,No,
168,Presse de l'Est vaudois,Journal officiel de Vevey,1932,1935,203,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,15,No,
87,Nouvelliste vaudois,L'ami de la vérité: journal du Canton de Vaud,1822,1823,81,high,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),16,L'ami de la vérité: journal du Canton de Vaud,
59,Journaux satiriques vaudois,L'Arbalète,1916,1917,34,high,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,21,L'Arbalète,
68,Lausanne-plaisirs / L'Artistique,L'artistique,1924,1928,136,no interest,no interest,no interest,Not to include,,17,L'artistique,
169,Presse de l'Est vaudois,L'Avenir de Vevey,1898,1900,57,medium,Category 1.5 - Orphan,Batch 1.5,Bath 4 (08/25),,22,L'Avenir de Vevey,
228,Presse religieuse,L'Echo,1910,2004,4021,high,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
104,"Presse de la Broye, du Jorat et du Gros-de-Vaud",L'Echo de la Broye,1871,1961,9035,medium,Category 1.5 - Orphan,Batch 2 – partly public,Bath 4 (08/25),,,No,
134,Presse de la Côte vaudoise,L'Echo de Morges,1883,1892,138,medium,Category 1– public domain,Batch 1 – public domain,Batch 2 (26/02/24),,,No,
105,"Presse de la Broye, du Jorat et du Gros-de-Vaud",L'Echo du Gros-de-Vaud,1938,2019,3594,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
170,Presse de l'Est vaudois,L'Echo du Rhône,1878,1905,544,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,,No,
135,Presse de la Côte vaudoise,L'Echo rollois,1990,2015,1186,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
171,Presse de l'Est vaudois,L'Est vaudois / La presse Riviera-Chablais,1972,2005,9991,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,,No,
69,Le Matin - Tribune de Lausanne,L'Estafette: Journal suisse,1862,1895,10066,medium,Category 1– public domain,Batch 1 – public domain,Batch 2 (26/02/24),,18,No,oui
60,Journaux satiriques vaudois,L’Éternité,1994,1994,20,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
204,Presse socialiste,L'Etincelle,1964,1969,32,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
106,"Presse de la Broye, du Jorat et du Gros-de-Vaud",L'Eveil,1888,1961,7263,medium,Category 1.5 - Orphan,Batch 2 – partly public,Bath 4 (08/25),,,No,
80,Magazines illustrés vaudois,L'Hebdo,1981,2017,1820,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,19,L'Hebdo,
81,Magazines illustrés vaudois,L'Illustré,1921,2006,4424,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,20,L'Illustré,
172,Presse de l'Est vaudois,L'Observateur du Léman,1865,1865,5,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),23,L'Observateur du Léman,
197,Presse du Nord vaudois,L'Omnibus,2005,2021,791,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
27,Journaux satiriques vaudois,La Bombe,1889,1889,2,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),24,La Bombe,
107,"Presse de la Broye, du Jorat et du Gros-de-Vaud",La Broye / Broye Hebdo,1998,2019,1261,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
28,Journaux satiriques vaudois,La Cancoire,1898,1898,34,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),25,La Cancoire,
136,Presse de la Côte vaudoise,La Côte,1987,2017,7653,high,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
29,Journaux satiriques vaudois,La Crécelle,1920,1921,5,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,26,La Crécelle,
38,Journaux satiriques vaudois,La détonation,1985,1986,2,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
207,Presse socialiste,La Droit du Peuple,1917,1940,6436,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,47,No,
30,Journaux satiriques vaudois,La Fronde,1872,1872,28,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),27,La Fronde,
31,Journaux satiriques vaudois,La Fronde de Lausanne,1908,1908,1,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,28,La Fronde de Lausanne,
32,Journaux satiriques vaudois,La Griffe,1864,1866,91,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),29,La Griffe,
33,Journaux satiriques vaudois,La Guêpe [1],1851,1854,75,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),30,La Guêpe [1],
34,Journaux satiriques vaudois,La Guêpe [2],1887,1897,3,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),31,La Guêpe [2],
